ttft_s,e2e_s,tpot_s,output_tokens,status,segment_idx,label
0.20104360580444336,5.318066596984863,0.04029151961559386,128,successful,0,baseline
0.30113983154296875,5.305812120437622,0.03940686841649333,128,successful,0,baseline
0.28257012367248535,5.385390520095825,0.0401796881608137,128,successful,0,baseline
0.2676706314086914,5.287367343902588,0.03952517096451887,128,successful,0,baseline
0.20280027389526367,5.1190550327301025,0.038710667392400304,128,successful,0,baseline
0.1704704761505127,5.235740661621094,0.039884017208429774,128,successful,0,baseline
0.18001890182495117,5.192209959030151,0.03946607131657638,128,successful,0,baseline
0.13527584075927734,5.298684120178223,0.04065675810566099,128,successful,0,baseline
0.16223502159118652,5.178298234939575,0.039496560735026685,128,successful,0,baseline
0.15560126304626465,5.012881517410278,0.03824630121546468,128,successful,0,baseline
0.17596173286437988,5.304290294647217,0.04038053985655777,128,successful,0,baseline
0.21094918251037598,5.225916385650635,0.03948793073338786,128,successful,0,baseline
0.15338635444641113,5.370125770568848,0.041076688315924696,128,successful,0,baseline
0.2949647903442383,5.390405893325806,0.04012158348804384,128,successful,0,baseline
0.3335306644439697,5.44324254989624,0.04023395185395488,128,successful,0,baseline
0.17775821685791016,5.3121442794799805,0.04042823671355961,128,successful,0,baseline
0.21281838417053223,5.4083123207092285,0.04090940107510784,128,successful,0,baseline
0.24992156028747559,5.310520887374878,0.039847238795963795,128,successful,0,baseline
0.2353229522705078,5.206049680709839,0.03913958053889237,128,successful,0,baseline
0.19646406173706055,5.224104404449463,0.039587719233955924,128,successful,0,baseline
0.1841726303100586,5.124668598175049,0.03890154305405504,128,successful,0,baseline
0.19185090065002441,5.403602123260498,0.04103741120165727,128,successful,0,baseline
0.236863374710083,5.306847333908081,0.03992113353699211,128,successful,0,baseline
0.2482447624206543,5.485467433929443,0.04123797379140779,128,successful,0,baseline
0.09084367752075195,5.127411842346191,0.039658017045869604,128,successful,0,baseline
0.20209217071533203,5.194019079208374,0.03930651109049639,128,successful,0,baseline
0.18944168090820312,5.333598852157593,0.04050517457676685,128,successful,0,baseline
0.22188282012939453,5.326115369796753,0.04019080747769573,128,successful,0,baseline
0.22199726104736328,5.385262489318848,0.040655631718673105,128,successful,0,baseline
0.13986492156982422,5.127835035324097,0.039275355226411596,128,successful,0,baseline
0.13932442665100098,5.3490681648254395,0.041021604237594,128,successful,0,baseline
0.18508696556091309,5.139859437942505,0.0390139564754456,128,successful,0,baseline
0.16994881629943848,5.079602003097534,0.038658686510221224,128,successful,0,baseline
0.16206574440002441,5.151885271072388,0.039289917532853255,128,successful,0,baseline
0.1814568042755127,7.496733665466309,0.057600605206226736,128,successful,1,burst
0.31712985038757324,9.727026462554932,0.074093674111554,128,successful,1,burst
0.33173704147338867,11.029700517654419,0.0842359328833152,128,successful,1,burst
0.3491199016571045,12.479789018630981,0.09551707966121163,128,successful,1,burst
0.4745655059814453,13.700928449630737,0.10414459010747475,128,successful,1,burst
0.4367361068725586,14.383283138275146,0.10981533095592588,128,successful,1,burst
0.46053504943847656,15.030101776123047,0.11472099784791,128,successful,1,burst
0.6458516120910645,15.394522428512573,0.1161312662710355,128,successful,1,burst
0.5903260707855225,15.55152177810669,0.11780469060882809,128,successful,1,burst
0.43933629989624023,15.550442457199097,0.11898508785277839,128,successful,1,burst
0.5723028182983398,15.70953106880188,0.11919077362601213,128,successful,1,burst
0.7967932224273682,16.022226333618164,0.1198853000881165,128,successful,1,burst
2.01798677444458,17.305723667144775,0.12037588104488343,128,successful,1,burst
2.8148181438446045,18.062022924423218,0.12005673055573711,128,successful,1,burst
3.4072306156158447,18.717690467834473,0.12055480198597344,128,successful,1,burst
3.821997880935669,19.216689825057983,0.12121804680411272,128,successful,1,burst
4.0048017501831055,19.309352159500122,0.12050827093950407,128,successful,1,burst
3.923414707183838,19.053571224212646,0.1191350906852662,128,successful,1,burst
4.141052722930908,19.563549995422363,0.12143698639757051,128,successful,1,burst
4.357181787490845,19.63133406639099,0.12026891558189091,128,successful,1,burst
5.692490100860596,20.972130298614502,0.12031212754136934,128,successful,1,burst
6.400421857833862,21.76933717727661,0.12101508125545472,128,successful,1,burst
7.0696187019348145,22.285972833633423,0.11981381206061896,128,successful,1,burst
7.54092264175415,22.94771122932434,0.12131329596511961,128,successful,1,burst
7.546677112579346,22.802006244659424,0.12012070182740218,128,successful,1,burst
7.45119309425354,22.731170892715454,0.12031478581466074,128,successful,1,burst
7.97325587272644,23.22750735282898,0.12011221637876016,128,successful,1,burst
7.874612331390381,23.24064826965332,0.1209924089627003,128,successful,1,burst
9.395150184631348,24.577253580093384,0.11954412122411052,128,successful,1,burst
10.130862951278687,25.32491898536682,0.11963823648888296,128,successful,1,burst
10.689497470855713,25.97802972793579,0.12038214375653605,128,successful,1,burst
11.254172563552856,26.688406705856323,0.1215294026953029,128,successful,1,burst
11.212432146072388,26.539146661758423,0.12068279146209476,128,successful,1,burst
11.083745002746582,26.389380931854248,0.12051681833943044,128,successful,1,burst
0.13877129554748535,6.101889133453369,0.046953683763038455,128,successful,1,burst
11.537161111831665,26.827203512191772,0.12039403464850479,128,successful,1,burst
0.23606181144714355,6.852022886276245,0.05209418169156773,128,successful,1,burst
11.61887264251709,26.927727222442627,0.12054216204665777,128,successful,1,burst
12.883159637451172,28.247733116149902,0.12098089353306087,128,successful,1,burst
0.22298622131347656,5.683027982711792,0.04299245481415996,128,successful,1,burst
13.734176874160767,29.116867542266846,0.1211235485677644,128,successful,1,burst
14.255751848220825,29.627389192581177,0.12103651452252245,128,successful,1,burst
15.00337028503418,30.113877058029175,0.11898036829129917,128,successful,1,burst
0.2831089496612549,6.780336856842041,0.05115927485969123,128,successful,1,burst
14.932716846466064,30.188159465789795,0.1201215954277459,128,successful,1,burst
0.18440532684326172,5.316284894943237,0.04040850053622028,128,successful,2,baseline
0.3384559154510498,5.314703464508057,0.03918305156737801,128,successful,2,baseline
0.23758864402770996,5.26765775680542,0.0396068434076985,128,successful,2,baseline
0.17787528038024902,5.323969841003418,0.040520429611206055,128,successful,2,baseline
0.11658453941345215,5.274393081665039,0.04061266568702037,128,successful,2,baseline
0.23430562019348145,5.377527713775635,0.040497811760489395,128,successful,2,baseline
0.26387524604797363,5.396698713302612,0.04041593281302865,128,successful,2,baseline
0.2573416233062744,5.261345386505127,0.03940160443463663,128,successful,2,baseline
0.30400633811950684,5.36793851852417,0.03987348173546979,128,successful,2,baseline
0.1668848991394043,5.31865930557251,0.04056515280655989,128,successful,2,baseline
0.11135101318359375,5.078977823257446,0.03911517173286498,128,successful,2,baseline
0.21479034423828125,5.4673011302948,0.04135835264611432,128,successful,2,baseline
0.1275162696838379,5.166198253631592,0.0396746612909272,128,successful,2,baseline
0.22495698928833008,5.432966232299805,0.04100794679536594,128,successful,2,baseline
0.21114611625671387,5.256725311279297,0.039728970039547895,128,successful,2,baseline
0.22388339042663574,5.4953203201293945,0.041507377399234324,128,successful,2,baseline
0.1829242706298828,5.37959098815918,0.040918635571096824,128,successful,2,baseline
