idx,label,rate,prompt_tokens,output_tokens,start_epoch,end_epoch
0,baseline,0.182,256,128,1789943081.7385948,1789943296.5500693
1,burst,0.654,256,128,1789943296.5500753,1789943409.932352
2,baseline,0.179,256,128,1789943409.932356,1789943622.5891016
3,burst,0.72,256,128,1789943622.5891047,1789943727.4367044
4,baseline,0.178,256,128,1789943727.4367085,1789943933.8733683
5,burst,0.719,256,128,1789943933.8733716,1789944039.4525104
6,baseline,0.174,256,128,1789944039.4525135,1789944236.633052
7,burst,0.721,256,128,1789944236.633055,1789944339.290323
